time_start,time_end,n_samples,Time_mean,Time_std,Time_max,Time_min,BldPitch1_mean,BldPitch1_std,BldPitch1_max,BldPitch1_min,RotSpeed_mean,RotSpeed_std,RotSpeed_max,RotSpeed_min,RtTSR_mean,RtTSR_std,RtTSR_max,RtTSR_min,RotTorq_mean,RotTorq_std,RotTorq_max,RotTorq_min,GenPwr_mean,GenPwr_std,GenPwr_max,GenPwr_min,RtAeroCp_mean,RtAeroCp_std,RtAeroCp_max,RtAeroCp_min,RtAeroCt_mean,RtAeroCt_std,RtAeroCt_max,RtAeroCt_min,RtAeroFxh_mean,RtAeroFxh_std,RtAeroFxh_max,RtAeroFxh_min,B1RootMxr_mean,B1RootMxr_std,B1RootMxr_max,B1RootMxr_min,B1RootMyr_mean,B1RootMyr_std,B1RootMyr_max,B1RootMyr_min,B1RootMzr_mean,B1RootMzr_std,B1RootMzr_max,B1RootMzr_min,RtVAvgxh_mean,RtVAvgxh_std,RtVAvgxh_max,RtVAvgxh_min,RtVAvgyh_mean,RtVAvgyh_std,RtVAvgyh_max,RtVAvgyh_min,RtVAvgzh_mean,RtVAvgzh_std,RtVAvgzh_max,RtVAvgzh_min,RtSkew_mean,RtSkew_std,RtSkew_max,RtSkew_min,YawBrMzp_mean,YawBrMzp_std,YawBrMzp_max,YawBrMzp_min,TwrBsMyt_mean,TwrBsMyt_std,TwrBsMyt_max,TwrBsMyt_min,TwrBsMxt_mean,TwrBsMxt_std,TwrBsMxt_max,TwrBsMxt_min,YawAngle,WindSpeed
49.0005,70.0005,14001,59.500499999999995,6.062827341678137,70.0005,49.0005,0.0,0.0,0.0,0.0,7.051245411042069,0.003591803841083395,7.062,7.047,13.651865581029927,0.09372584299186172,13.88,13.53,130.98827940861366,4.7530512504445195,153.1,125.4,91.51033354760375,2.6818558971399504,100.2,88.81,0.3134037783015499,0.0020443062065832966,0.3185,0.3081,1.0421600599957146,0.007478179235757519,1.055,1.032,92275.71673451897,653.5664264288181,92970.0,90290.0,-48641.67329690733,2391432.386656924,3503000.0,-3506000.0,1861593.100492822,75879.9695447204,1964000.0,1681000.0,-13305.683665452467,8537.750377378425,-1701.0,-28180.0,3.4063427612313406,0.023181852645135663,3.435,3.35,-0.25800060693807586,1.41228323326045,2.01,-2.089,0.014361330283551226,1.4144840698641665,2.009,-2.022,30.60664238268695,0.46583872580310814,31.91,29.44,-28.848594808442254,34.21688016393113,62.22,-114.0,6626.452967645168,327.98214839042856,7143.0,6094.0,3914.581815584601,338.771521038069,4569.0,3284.0,-30,4
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.11405976463349,0.002237315748834581,7.12,7.11,12.697527113298976,0.09372159946949359,12.91,12.57,187.96530266902548,2.9298521626394693,199.7,182.2,132.36324898084763,1.4499358172280299,137.9,130.3,0.3601839781555265,0.0017883665226164352,0.3655,0.3565,1.0086499500038457,0.0067724346404405,1.02,0.9995,105103.82278286286,886.5620724371316,106200.0,102700.0,164323.1082993616,2338142.307152797,3550000.0,-3399000.0,2054000.1538343204,88198.82608659369,2149000.0,1830000.0,-13443.991246827167,9075.343250763677,-501.1,-27450.0,3.6952029074686563,0.027215709165702918,3.731,3.633,0.1601032817937082,1.0092926012598014,1.404,-1.446,-0.004073046282209098,0.9614438721888203,1.397,-1.453,20.787287131759097,0.41934071122116595,22.01,20.0,-14.4933547507884,29.59615932891555,56.4,-83.58,8298.878547804015,274.1959761286675,8873.0,7565.0,3176.055918775479,881.1177687961103,4697.0,1576.0,-20,4
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.138523652026767,0.0020538702116468244,7.142,7.135,12.394602722867473,0.09048900190869198,12.61,12.28,210.1076378740097,2.085080916325316,216.4,204.5,148.37810937620185,0.9167245173176951,151.1,146.6,0.37404518883162835,0.001737688596547298,0.3786,0.3709,0.9974333051303744,0.006442360645211077,1.008,0.9886,109828.15937235598,929.393551391278,111000.0,107300.0,184926.5013329744,2343820.5672353744,3622000.0,-3416000.0,2116970.771479117,92868.19149623561,2225000.0,1875000.0,-13092.004826474118,9326.857765291597,323.9,-28360.0,3.7985157295592646,0.02758226999263443,3.835,3.735,0.12528207258518578,0.7804704112273148,1.086,-1.142,0.003265243012076008,0.7444892324836738,1.102,-1.087,15.947307899392355,0.4428784497665178,17.0,15.25,-8.524162159072379,32.51854320372894,81.58,-75.04,8971.11629874625,261.13591040745473,9444.0,8438.0,2584.907468656257,997.6208636198434,4211.0,960.7,-15,4
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.1572071494042175,0.0018365508111021223,7.161,7.154,12.192684776268644,0.08765999491816176,12.39,12.08,227.03205566202817,2.48641137295667,236.3,217.8,160.71931505707857,0.740974739210071,162.0,159.4,0.38350719940005,0.0018308635934041995,0.3881,0.381,0.9897555537038581,0.006121406512842447,0.9998,0.9811,113211.28239313391,956.2928580360974,114400.0,110700.0,10607.974935422033,2345440.255566778,3495000.0,-3346000.0,2138219.2317306893,101674.09871796145,2257000.0,1922000.0,-12098.458452077493,9395.99187801502,691.2,-26990.0,3.871510790767436,0.027630932021612375,3.908,3.81,-0.05173599315640365,0.5615866284163105,0.7635,-0.8117,-0.008590451374885417,0.5310694586122339,0.8083,-0.7642,11.30996083659695,0.35896033689824447,12.15,10.51,-1.953790188984251,26.6934929384176,57.25,-53.14,9480.22698108491,201.06647360668322,9957.0,9097.0,1910.240688275977,858.0132550152263,3323.0,528.4,-10,4
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.168892842263146,0.0013188440377342515,7.171,7.166,12.073647196066995,0.08251679739511023,12.26,11.97,237.5929755853679,1.6043466438046914,240.5,231.1,168.38378468460962,0.737316333040823,169.7,166.3,0.3892943088075994,0.002069772960406549,0.3939,0.3863,0.9848722356470294,0.005849622131083743,0.9943,0.9765,115261.68652612282,925.2829956609304,116300.0,112800.0,11278.699133405646,2347382.7731938604,3616000.0,-3501000.0,2164961.2532288977,101504.9346020311,2288000.0,1944000.0,-11965.339337088577,9511.333495928795,1668.0,-28020.0,3.916031497375219,0.02663319997983739,3.95,3.856,-0.030469439455045422,0.35437353632102164,0.4927,-0.5381,-0.015266566829514203,0.3419397750380087,0.5491,-0.5053,7.174421048245979,0.38026968056052257,8.028,6.332,2.984449580951587,37.376609179576015,96.17,-75.49,9794.182484792935,91.2926486444847,9973.0,9614.0,1148.4626614448796,464.48955844368953,1917.0,426.8,-5,4
38.5005,55.0005,11001,46.750499999999995,4.7637892349473265,55.0005,38.5005,0.0,0.0,0.0,0.0,7.17153849650032,0.0030018471091241435,7.175,7.163,12.02946550313608,0.07928146473651476,12.22,11.93,239.9592491591673,2.9003880837203044,243.0,231.8,169.8625943096082,2.350365881737673,172.1,162.6,0.39194678665575855,0.0022934632190459267,0.3969,0.3888,0.9825576765748568,0.00566446719161137,0.9917,0.9747,115924.35233160622,901.0340529516303,116900.0,113500.0,65709.4480319971,2422932.3595528314,3491000.0,-3328000.0,2182933.096991183,91938.7823793571,2283000.0,1957000.0,-12087.385055185892,9861.648912705703,1109.0,-26850.0,3.9319200981728932,0.02588144081680924,3.964,3.873,-0.0008547894827743026,0.2485816299409686,0.35,-0.3512,-0.00483304745759477,0.2452164611265817,0.3501,-0.3424,5.075061176256704,0.02776720732410659,5.148,5.014,7.242366181583492,25.623549465779888,53.33,-30.44,9903.643305154077,101.51665977447132,10070.0,9712.0,340.6984728661031,96.5152869259315,506.5,171.9,0,4
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.170119990000833,0.00161738509119922,7.172,7.166,12.076326139488375,0.08002693270083377,12.26,11.97,238.84332138988418,1.6035483364869623,242.0,232.4,169.20291642363136,0.8866744012117965,170.3,166.8,0.3914554537121907,0.0024683929582242853,0.3974,0.3877,0.9835822764769603,0.005615020333939522,0.9924,0.9756,115100.79993333889,904.3087747297935,116100.0,112700.0,7554.853353887129,2347971.328889979,3503000.0,-3350000.0,2162920.339971669,94284.6292903442,2270000.0,1938000.0,-12005.43911218232,9506.272153303955,2115.0,-27220.0,3.9158876760269976,0.02588400501481617,3.949,3.857,0.014807763258061823,0.34134956434492975,0.527,-0.4875,-0.028459280151654033,0.35212072617424917,0.5555,-0.5132,7.14262744771269,0.386442128841084,8.124,6.29,13.233188940338305,35.75406274841637,93.14,-74.97,9808.139655028748,166.59202910557914,10160.0,9415.0,-476.1286833097242,459.74294609704447,338.7,-1340.0,5,4
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.1596206149487545,0.001760010886842959,7.163,7.156,12.198520956586952,0.08039726725217823,12.38,12.1,229.29307557703527,2.3989267492716397,235.3,219.2,162.206574452129,0.815477941441208,163.5,160.3,0.38784048829264234,0.0026061765855144516,0.3933,0.3839,0.9871977918506792,0.005619426805615488,0.9957,0.9792,112891.07574368802,886.5745979211621,113900.0,110500.0,5104.429272560604,2348293.0526342485,3506000.0,-3378000.0,2134513.040579952,87275.7899845608,2228000.0,1931000.0,-12181.779545521207,9402.857461760666,1116.0,-26840.0,3.870969502541455,0.02550146537934949,3.904,3.813,0.03647136096658612,0.545243689608658,0.8185,-0.7492,-0.03428761718690105,0.5443890629816278,0.8113,-0.8083,11.270995750354137,0.4325902026151442,12.22,10.5,17.63187986701108,30.570240526680397,80.37,-40.78,9511.733438880094,237.29748879675932,9980.0,8949.0,-1266.1615698691774,618.1127765880074,-336.4,-2237.0,10,4
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.142150526882547,0.0014454283073209583,7.145,7.14,12.401479886162601,0.08529781627208956,12.6,12.3,213.40241519883085,1.7955510009841915,220.8,208.7,150.649996154142,0.587907796264249,151.6,149.6,0.3804741250673025,0.002493342761969302,0.386,0.3768,0.9934363818167833,0.005787037048442785,1.002,0.9856,109370.6714868087,897.9569562204179,110400.0,106900.0,193723.33846165682,2348080.818032994,3549000.0,-3418000.0,2106225.9826167217,70552.07790816248,2185000.0,1907000.0,-12660.98093303592,9342.440004589358,923.8,-27800.0,3.798253672794401,0.02599269925179339,3.83,3.739,-0.1019127668948542,0.7683479253848242,1.15,-1.098,0.07547352654949621,0.7572253422602336,1.071,-1.111,15.951214521959848,0.4587839882775585,17.03,15.11,20.404225020306132,33.982429226871396,99.72,-47.46,9045.134374278901,172.32058590539765,9396.0,8690.0,-1997.4323513575878,545.3584270038193,-1129.0,-2870.0,15,4
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.1183944311976,0.0015877743692329176,7.122,7.115,12.70469733097454,0.09114765451110508,12.91,12.59,191.7462964387355,2.290208995728901,201.4,185.6,135.0193292823629,0.8895994150931106,137.6,133.6,0.3688807860933775,0.002380023923055653,0.3745,0.3649,1.0031731174525034,0.006031608629351392,1.012,0.9951,104532.83593569725,904.4025796517601,105500.0,102100.0,177174.21919083147,2344797.1727596186,3479000.0,-3357000.0,2040704.868856242,61381.57113925275,2101000.0,1847000.0,-12884.309669717713,9108.024448486836,295.6,-27120.0,3.695226828705484,0.02639992727575603,3.728,3.635,-0.13927964527113304,0.9971891579578523,1.458,-1.399,0.08237343218213984,0.974528407238503,1.39,-1.438,20.793243596646413,0.4323124508900564,21.87,19.91,25.040775307207138,36.79066317478422,134.8,-55.52,8380.747942465965,86.34886975673884,8562.0,8158.0,-2659.021536804861,509.6617759297068,-1813.0,-3446.0,20,4
