Time,YawAngle,WindSpeed,BldPitch1,RotSpeed,RtTSR,RotTorq,GenPwr,RtAeroCp,RtAeroCt,RtAeroFxh,B1RootMxr,B1RootMyr,B1RootMzr,RtVAvgxh,RtVAvgyh,RtVAvgzh,RtSkew,YawBrMzp,TwrBsMyt,TwrBsMxt
0.0,10,12,0.0,12.1,6.712,1.455e-14,5000.0,0.4737,0.7242,780900.0,597.2,917300.0,3403.0,11.89,-0.1059,1.039,5.019,-4.535e-16,-782.2,21.49
0.099,10,12,0.0,11.96,8.395,2824.0,4782.0,0.4197,0.7594,513600.0,1016000.0,2345000.0,-2095.0,9.413,0.05949,1.029,6.248,-306.6,1424.0,135.9
0.198,10,12,0.0,11.76,9.165,5756.0,4816.0,0.4041,0.745,411000.0,2298000.0,4557000.0,-18810.0,8.5,0.2468,0.9975,6.893,-571.0,2167.0,-5637.0
0.297,10,12,0.0,11.86,9.288,5781.0,4800.0,0.4544,0.7521,406600.0,2824000.0,7282000.0,-55020.0,8.416,0.4024,0.9648,7.081,-293.0,727.9,-8354.0
0.396,10,12,0.0,12.04,8.935,4998.0,4985.0,0.4784,0.7809,467600.0,3184000.0,8645000.0,-42270.0,8.862,0.5554,0.909,6.855,-224.8,4327.0,84.49
0.495,10,12,0.0,11.95,8.302,3335.0,5077.0,0.4739,0.7972,549000.0,3245000.0,9544000.0,-9319.0,9.512,0.6708,0.8157,6.336,86.88,13770.0,2345.0
0.594,10,12,0.0,11.75,7.672,1643.0,4929.0,0.4555,0.7884,610800.0,3362000.0,9696000.0,2328.0,10.1,0.6985,0.7281,5.708,389.6,22190.0,-386.4
0.693,10,12,0.0,11.67,7.32,2876.0,4676.0,0.4517,0.7535,629700.0,4180000.0,10160000.0,-55670.0,10.49,0.7017,0.6362,5.16,345.0,30970.0,5734.0
0.792,10,12,0.0,11.66,7.226,5320.0,4518.0,0.462,0.7418,642900.0,5018000.0,10390000.0,-77700.0,10.68,0.7422,0.4746,4.715,-96.36,44050.0,6097.0
0.891,10,12,0.0,11.78,7.111,6094.0,4498.0,0.4794,0.7276,661500.0,5429000.0,10430000.0,-84490.0,10.94,0.8673,0.1836,4.633,76.58,58020.0,-1441.0
0.99,10,12,0.0,11.93,7.032,4806.0,4462.0,0.4911,0.7363,692100.0,4806000.0,10230000.0,-51820.0,11.12,0.9184,0.08702,4.742,291.2,69870.0,4390.0
1.089,10,12,0.0,11.9,7.017,2668.0,4632.0,0.4847,0.7381,697900.0,3829000.0,10140000.0,-30090.0,11.15,0.9694,0.02371,4.969,356.4,82770.0,15690.0
