Time,YawAngle,WindSpeed,BldPitch1,RotSpeed,RtTSR,RotTorq,GenPwr,RtAeroCp,RtAeroCt,RtAeroFxh,B1RootMxr,B1RootMyr,B1RootMzr,RtVAvgxh,RtVAvgyh,RtVAvgzh,RtSkew,YawBrMzp,TwrBsMyt,TwrBsMxt
0.0,-5,4,0.0,4.85,8.068,-6.852e-17,0.0,0.4885,0.8192,98100.0,200.3,278900.0,561.9,3.963,-0.04286,0.3461,5.03,-2.546e-17,-809.9,-0.132
0.099,-5,4,0.0,4.855,8.966,25.34,0.0,0.4422,0.8408,81720.0,59570.0,520800.0,-2672.0,3.57,-0.01547,0.3504,5.612,-47.7,1110.0,6.605
0.198,-5,4,0.0,4.854,9.605,23.08,0.0,0.4141,0.8566,72520.0,201800.0,737400.0,-1565.0,3.332,0.02517,0.3429,5.892,-52.62,1876.0,-42.37
0.297,-5,4,0.0,4.854,9.869,-22.4,0.0,0.407,0.8599,68970.0,365700.0,1198000.0,-3905.0,3.242,0.06513,0.3422,6.132,-28.62,-180.2,-64.59
0.396,-5,4,0.0,4.861,9.734,3.864,0.0,0.4135,0.8631,71400.0,636400.0,1600000.0,-3702.0,3.293,0.0932,0.3417,6.14,-15.3,-194.4,1.359
0.495,-5,4,0.0,4.867,9.379,71.63,0.0,0.4325,0.8618,77060.0,954800.0,1988000.0,-4613.0,3.423,0.109,0.3334,5.851,51.28,2144.0,-229.3
0.594,-5,4,0.0,4.877,8.902,86.75,0.0,0.4553,0.8526,84940.0,1204000.0,2045000.0,-5276.0,3.613,0.1064,0.324,5.391,67.77,2334.0,-486.4
0.693,-5,4,0.0,4.891,8.488,74.36,0.0,0.4772,0.8392,92430.0,1394000.0,2093000.0,-6589.0,3.799,0.09391,0.3148,4.942,69.39,2401.0,-246.7
0.792,-5,4,0.0,4.904,8.188,63.82,0.0,0.4978,0.8284,98700.0,1507000.0,2117000.0,-6120.0,3.951,0.08488,0.3071,4.61,38.1,5289.0,-79.91
0.891,-5,4,0.0,4.915,8.04,46.85,0.0,0.5142,0.8285,102800.0,1565000.0,2100000.0,-4982.0,4.033,0.08578,0.2961,4.37,67.52,7767.0,-237.3
0.99,-5,4,0.0,4.926,7.989,51.44,0.0,0.5197,0.8278,104400.0,1617000.0,1929000.0,-5393.0,4.066,0.1037,0.2882,4.308,66.67,8143.0,-95.9
1.089,-5,4,0.0,4.938,8.032,66.01,0.0,0.517,0.8291,104000.0,1687000.0,1806000.0,-5643.0,4.055,0.1376,0.2896,4.522,7.823,10290.0,202.4
1.188,-5,4,0.0,4.949,8.149,74.08,0.0,0.5096,0.8316,101900.0,1846000.0,1708000.0,-5780.0,4.007,0.1746,0.2857,4.777,-0.6749,13630.0,119.6
1.287,-5,4,0.0,4.961,8.309,65.71,0.0,0.5017,0.8391,99260.0,2046000.0,1650000.0,-6589.0,3.937,0.2075,0.2803,5.061,-4.088,14500.0,26.6
1.386,-5,4,0.0,4.969,8.459,37.09,0.0,0.4911,0.8439,96570.0,2241000.0,1639000.0,-8732.0,3.873,0.2282,0.2809,5.339,5.364,14720.0,311.5
1.485,-5,4,0.0,4.975,8.587,6.383,0.0,0.4838,0.8488,94560.0,2469000.0,1707000.0,-9217.0,3.821,0.2346,0.2751,5.405,35.34,16740.0,438.3
1.584,-5,4,0.0,4.982,8.674,21.79,0.0,0.4793,0.8516,93290.0,2642000.0,1757000.0,-9914.0,3.789,0.2302,0.2641,5.283,40.99,17670.0,270.2
1.683,-5,4,0.0,4.99,8.7,63.09,0.0,0.4773,0.8515,92940.0,2725000.0,1808000.0,-11280.0,3.782,0.2245,0.2526,5.106,29.55,16480.0,338.0
