Time,YawAngle,WindSpeed,BldPitch1,RotSpeed,RtTSR,RotTorq,GenPwr,RtAeroCp,RtAeroCt,RtAeroFxh,B1RootMxr,B1RootMyr,B1RootMzr,RtVAvgxh,RtVAvgyh,RtVAvgzh,RtSkew,YawBrMzp,TwrBsMyt,TwrBsMxt
0.0,20,14,0.0,12.1,5.753,2.049e-15,5000.0,0.4302,0.6278,921400.0,585.6,917300.0,3153.0,13.87,-0.1062,1.212,5.013,-1.568e-15,-771.7,21.52
0.108,20,14,0.0,11.97,7.37,3314.0,4781.0,0.4056,0.7069,622200.0,1218000.0,2886000.0,18920.0,10.74,0.1071,1.197,6.388,-276.3,1817.0,-86.54
0.216,20,14,0.0,11.77,8.058,6136.0,4841.0,0.4077,0.7001,500700.0,2540000.0,6059000.0,-6539.0,9.678,0.3307,1.159,7.1,-474.1,2201.0,-7307.0
0.324,20,14,0.0,12.02,8.064,5714.0,4934.0,0.4646,0.7023,514300.0,3064000.0,9340000.0,-66180.0,9.798,0.5014,1.118,7.125,-39.96,1490.0,-6748.0
0.432,20,14,0.0,12.13,7.621,4609.0,5124.0,0.4774,0.7447,621900.0,3324000.0,10770000.0,2873.0,10.48,0.682,1.033,6.736,-37.92,9449.0,2767.0
0.54,20,14,0.0,11.97,6.951,2669.0,5061.0,0.4492,0.7259,711700.0,3435000.0,11470000.0,15510.0,11.37,0.784,0.9128,6.043,415.9,22240.0,257.0
0.648,20,14,0.0,11.89,6.532,2140.0,4884.0,0.4388,0.7145,772600.0,3846000.0,11900000.0,897.1,11.95,0.8072,0.8074,5.459,567.3,33450.0,2005.0
0.756,20,14,0.0,11.84,6.333,4707.0,4787.0,0.4327,0.6766,778800.0,4814000.0,12340000.0,-68010.0,12.33,0.8375,0.6617,4.947,178.5,48450.0,8480.0
0.864,20,14,0.0,11.98,6.273,6414.0,4740.0,0.4502,0.6662,803800.0,5550000.0,12550000.0,-82480.0,12.62,1.03,0.2619,4.81,133.0,67530.0,355.8
0.972,20,14,0.0,12.18,6.161,5635.0,5032.0,0.458,0.6649,845100.0,5204000.0,12250000.0,-43670.0,12.95,1.1,0.1227,4.885,412.0,84150.0,1928.0
1.08,20,14,0.0,12.23,6.172,3620.0,5173.0,0.4553,0.6678,855500.0,4174000.0,12120000.0,-24400.0,13.0,1.157,0.0385,5.088,462.5,101200.0,15670.0
1.188,20,14,0.0,12.12,6.189,2183.0,5028.0,0.4467,0.6803,863500.0,3793000.0,12130000.0,12860.0,12.94,1.232,-0.06565,5.446,756.5,119400.0,13380.0
1.296,20,14,0.0,12.1,6.17,3733.0,4913.0,0.4358,0.6793,856500.0,4261000.0,12330000.0,-4846.0,12.9,1.325,-0.1903,5.924,816.5,133500.0,9870.0
1.404,20,14,0.0,12.12,6.144,5785.0,4982.0,0.4302,0.6659,848400.0,4936000.0,12510000.0,-57820.0,12.97,1.368,-0.3407,6.204,493.3,143400.0,14730.0
1.512,20,14,0.0,12.26,6.126,5744.0,5120.0,0.4301,0.6424,846200.0,5256000.0,12570000.0,-79660.0,13.19,1.359,-0.5076,6.278,502.3,152500.0,11920.0
1.62,20,14,0.2323,12.47,6.089,4812.0,5185.0,0.4336,0.6481,884400.0,4694000.0,12610000.0,-31540.0,13.43,1.308,-0.6881,6.282,536.9,157700.0,11230.0
1.728,20,14,0.9393,12.41,5.959,3357.0,5152.0,0.4237,0.6237,878100.0,3784000.0,12560000.0,9213.0,13.64,1.195,-0.8605,6.16,315.9,156800.0,17260.0
1.836,20,14,1.276,12.32,5.797,2334.0,5011.0,0.4103,0.5943,876000.0,3056000.0,12290000.0,-12070.0,13.96,1.087,-1.007,6.057,288.2,154300.0,15920.0
1.944,20,14,1.202,12.42,5.722,4784.0,4954.0,0.4077,0.5827,895100.0,3040000.0,11970000.0,-14510.0,14.25,0.9811,-1.136,6.011,7.623,149000.0,11210.0
2.052,20,14,1.317,12.57,5.733,6931.0,5115.0,0.4146,0.5897,924100.0,3096000.0,11690000.0,37230.0,14.39,0.8698,-1.244,6.023,-362.8,137800.0,7020.0
2.16,20,14,1.985,12.68,5.691,5199.0,5262.0,0.4054,0.5545,893000.0,1802000.0,11330000.0,18630.0,14.58,0.7736,-1.338,6.049,-284.3,125900.0,5922.0
2.268,20,14,2.717,12.82,5.657,3056.0,5207.0,0.398,0.5241,874800.0,458600.0,11000000.0,12750.0,14.84,0.6374,-1.409,5.948,-207.8,113500.0,10630.0
2.376,20,14,3.157,12.79,5.656,3215.0,5093.0,0.3992,0.5255,884300.0,160400.0,10530000.0,52690.0,14.89,0.4348,-1.45,5.806,-485.5,97170.0,8454.0
